Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
84.40,16.80,23.78,14.39,0,162
22.80,18,20.93,1.05,0,163
25.20,17.20,21.07,2.19,0,164
24.80,18.30,21.19,1.91,0,165
23.20,18,20.69,1.70,0,166
24,17.60,20.99,1.61,0,167
26,16,21.14,2.65,0,168
26.20,18.80,21.40,1.81,0,169
25,15.90,21.09,2.44,0,170
84.60,18,24.13,14.31,0,171
22.80,17,19.37,1.68,0,172
24.10,17.90,21.52,1.74,0,173
23.40,17.90,20.57,1.22,0,174
27.10,17.40,21.24,2.44,0,175
25.50,17.40,20.79,2.04,0,176
29.60,16.10,20.22,2.92,0,177
27.20,16.50,19.70,2.34,0,178
26.60,18.40,21.27,2.06,0,179
21.70,18,19.41,1.22,0,180
22.20,17.40,20.24,1.42,0,181
24.50,18.10,21,1.68,0,182
22.70,17.20,19.56,1.69,0,183
25.20,18.20,21.05,2.02,0,184
26,17.70,21.14,1.88,0,185
25.60,17.30,22.15,1.85,0,186
26.20,17,20.53,2.22,0,187
25.60,16,19.67,2.11,0,188
25,17.70,21.58,1.99,0,189
24.10,16.40,20.48,1.98,0,190
25.60,19.90,21.93,1.65,0,191
22.90,18.10,20.54,1.54,0,192
24.80,18.40,21.88,1.88,0,193
23.60,17.50,20.18,1.55,0,194
24.90,18.20,21.47,1.84,0,195
24.10,16.30,19.59,2.15,0,196
31.90,20,22.34,2.68,0,197
23.90,19,21.16,1.23,0,198
24.10,17.50,20.58,1.53,0,199
84.30,16,23.18,14.53,0,200
24.60,18,20.56,1.95,0,201
24.10,17.50,21.51,1.76,0,202
25.60,16.60,20.18,2.31,0,203
25.60,17.60,20.14,1.82,0,204
25.70,18.30,20.69,1.64,0,205
22.90,17.20,20.41,1.30,0,206
24.10,17.20,20.61,1.57,0,207
25.20,16.70,20.73,2.26,0,208
23.40,15.10,19.63,1.89,0,209
23.70,16.20,19.64,1.97,0,210
83.60,15.70,23.17,14.44,0,211
22.50,17.10,19.83,1.60,0,212
24.70,18.60,21.68,1.92,0,213
28.30,19.30,22.06,1.96,0,214
25.60,13.90,20.97,2.77,0,215
84.100010,14.90,23.18,14.65,0,216
25.80,19.20,22.81,1.91,0,217
25.70,17.60,21.62,2.06,0,218
23.70,15.40,20.03,2.47,0,219
30.10,16.70,22.79,3.26,0,220
24.80,17.50,21.75,2,0,221
24.60,17.20,21.21,1.85,0,222
25,19.60,22.23,1.72,0,223
27.60,17.20,22.06,2.38,0,224
25,18.30,22.11,1.93,0,225
30.40,15.70,23.77,4.42,0,226
24.60,18.70,21.33,1.91,0,227
