Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
11.20,5.20,6.99,1.30,0,161
6.90,4.30,5.49,0.68,0,162
17.20,5.20,7.80,3.06,0,163
8.90,5.30,6.45,0.85,0,164
9.10,5.30,6.95,0.92,0,165
7.90,4.90,6.27,0.85,0,166
7,4.70,5.75,0.66,0,167
8.20,6,7.37,0.58,0,168
11.40,6.30,8.38,1.08,0,169
9.40,6.20,8.07,0.78,0,170
9.40,7.20,8.16,0.62,0,171
9.60,7.10,8.39,0.67,0,172
9.30,5.80,7.73,0.85,0,173
10.60,6.70,8.69,1.06,0,174
11.10,6.20,7.85,1.12,0,175
10.70,5.40,7.59,1.33,0,176
10.10,7,8.27,0.83,0,177
9.40,5.80,7.30,0.94,0,178
9.70,6.40,7.85,0.94,0,179
9.50,6.90,7.91,0.73,0,180
9.90,6.70,7.87,0.82,0,181
10.40,6.60,7.95,1.01,0,182
9.10,5.20,7.08,0.96,0,183
8.90,5.90,7.50,0.82,0,184
8.90,5.90,7.17,0.78,0,185
9.50,6.30,7.66,0.83,0,186
9.10,6.20,7.68,0.86,0,187
12,5.40,7.49,1.46,0,188
10.10,6.50,8.26,0.99,0,189
8.90,6.30,7.59,0.71,0,190
9.50,5.70,7.21,0.98,0,191
8.30,5.90,7.10,0.73,0,192
10.10,6.60,8.03,1.01,0,193
9.20,6.10,8.07,0.72,0,194
11,6.60,8.34,1.22,0,195
10.20,6.30,8.01,1.03,0,196
9.10,6.20,7.93,0.65,0,197
10.20,6.20,8.21,1.09,0,198
17.90,5.50,8.35,2.41,0,199
15.40,6.80,8.70,1.82,0,200
10.50,7.10,8.56,0.99,0,201
9.60,5.80,7.18,0.91,0,202
10,6.30,8.13,1.08,0,203
11.60,5.60,8.54,1.72,0,204
22.70,6.60,9.72,3.72,0,205
32.30,7.30,10.19,5.38,0,206
10,5.80,7.73,0.97,0,207
8.60,5.80,7.57,0.73,0,208
8.40,5.50,6.92,0.89,0,209
9.70,5.80,7.18,1.05,0,210
10.90,7.70,8.79,0.89,0,211
9.70,6.80,7.85,0.64,0,212
10.20,7.30,8.69,0.79,0,213
16,7,8.23,1.93,0,214
9.70,7.20,8.18,0.68,0,215
8.70,6,7.52,0.64,0,216
9,6.40,7.93,0.83,0,217
