Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
43,32.60,36.97,2.71,0,162
42.40,31.60,36.63,2.26,0,163
44.70,36.70,39.75,2.36,0,164
44.60,36.60,39.94,2.03,0,165
41.10,31.70,36.38,2.37,0,166
42.10,32.20,36.75,2.06,0,167
43.60,34.90,37.93,2.63,0,168
44.50,33.20,37.42,3.03,0,169
45.50,31.10,36.61,3.14,0,170
41,32.70,36.08,2.13,0,171
45.10,32.80,37.45,2.73,0,172
47.40,34.20,40.83,3.33,0,173
35.80,28,31.66,2.01,0,174
42.40,31.60,35.21,2.65,0,175
43.90,29.60,36.43,3.98,0,176
39.80,31.90,35.50,2.09,0,177
41.10,30.70,33.76,2.92,0,178
42.80,30.40,34.06,2.71,0,179
41.30,32.80,36.33,2.05,0,180
44,30.70,35.24,3.45,0,181
43.10,31.10,35.09,2.81,0,182
42,31.40,35.85,2.99,0,183
51.80,31,35.15,4.20,0,184
38.70,30.50,33.25,2.14,0,185
38.30,30.40,34.46,2.10,0,186
38.40,30.20,33.67,2.22,0,187
40.90,31.90,35.85,2.75,0,188
83.899990,28.60,36.16,11.46,0,189
40,31.70,35.73,2.42,0,190
44.10,29.40,34.97,3.42,0,191
41.30,31.70,34.75,2.16,0,192
84.10,32.70,38.66,10.79,0,193
37.40,30.50,34.49,1.93,0,194
38.10,31.30,34.46,1.85,0,195
35.20,28.40,32.39,1.80,0,196
42.80,31.90,35.25,2.52,0,197
42.50,31,34.84,2.75,0,198
41.50,31.60,35.34,2.61,0,199
38.20,30.40,34.90,2.32,0,200
40.10,30.60,35.81,2.67,0,201
39.90,31.50,35.07,2.13,0,202
37.40,31.10,34.12,1.92,0,203
39.20,30.20,33.74,2.24,0,204
84.20,30.50,35.58,11.54,0,205
37.30,29.10,33.89,1.84,0,206
36.60,31,33.38,1.52,0,207
38.50,32.20,35.67,1.68,0,208
50.20,33.40,36.34,3.59,0,209
38,31.20,34.01,1.84,0,210
41,32.10,35.95,2.36,0,211
39,30.10,34.30,2.65,0,212
38.80,29.10,34.60,2.69,0,213
39.10,29.70,34.63,2.68,0,214
40.60,33.70,37.07,2.35,0,215
84.20,33.40,39.59,10.69,0,216
41.60,32.80,35.76,2.15,0,217
39.20,31.60,34.49,1.96,0,218
42.50,34,36.05,2.16,0,219
40.60,31.70,35.44,2.28,0,220
37.50,29.70,33.86,2.01,0,221
37.10,30.70,34.59,1.94,0,222
38,30.40,33.78,2.05,0,223
39.80,31.60,35.60,2.19,0,224
39.10,30.50,35.13,1.96,0,225
40.20,33.60,36.70,2.06,0,226
44,33.90,37.71,2.44,0,227
43.50,33.40,36.84,2.53,0,228
42,33.30,37.42,2.28,0,229
84.30,33.40,40.54,10.58,0,230
50.10,33.50,37.71,3.71,0,231
40.70,33.90,36.85,2.02,0,232
39.70,30.90,34.97,2.85,0,233
83.20,32.50,37.47,10.89,0,234
38.60,31.60,35.03,1.83,0,235
40.10,30.70,35.22,2.61,0,236
39.30,30.70,34.89,2.70,0,237
40.30,29.60,34.65,2.74,0,238
37.60,28.70,34.16,2.56,0,239
38.40,30.50,33.44,1.90,0,240
44.30,31.10,35.30,2.93,0,241
40.60,31.20,33.98,2.34,0,242
36.10,28.30,32.10,2.22,0,243
39.80,29.10,33.05,2.46,0,244
36.80,30.30,33.10,2.15,0,245
84.10,28.30,36.47,11.58,0,246
34.80,28.70,31.95,1.85,0,247
36.30,29.50,32.65,2.04,0,248
37.70,28.90,32.17,2.81,0,249
36.20,27.70,31.82,2.46,0,250
38.80,29.90,34.36,2.02,0,251
37.40,29,32.72,2.51,0,252
36.70,28.50,32.84,1.92,0,253
41.90,33.60,35.81,2.03,0,254
38.40,32.10,35.28,1.79,0,255
39.50,28.40,34.67,3.23,0,256
42.60,33,38.23,2.86,0,257
42.80,33.90,38.16,2.78,0,258
84.30,31.70,40.24,10.76,0,259
42.80,33.90,37.92,2.87,0,260
43.10,31.90,36.63,2.84,0,261
43,33.20,37.45,2.20,0,262
41.70,34.50,37.82,1.95,0,263
41.40,34,38.34,2.23,0,264
41.80,32.60,37.57,2.90,0,265
44.40,31.70,37.53,2.78,0,266
44.60,31.30,37.08,2.81,0,267
41.90,33.20,38.09,2.28,0,268
39.90,34.30,36.84,1.58,0,269
41.30,32.20,36.92,2.64,0,270
39.70,30.50,35.28,2.47,0,271
41.30,34.30,37.38,1.66,0,272
40.10,32.80,36.68,2.28,0,273
37.80,29.90,34.61,2.16,0,274
39.10,29.60,34.53,2.36,0,275
42.30,33.20,37.73,2.51,0,276
44.40,34,37.09,2.29,0,277
38.10,31,34.75,1.94,0,278
84.20,33,39.12,10.87,0,279
42.50,33,35.82,2.43,0,280
24.30,16.80,20.40,2.45,0,281
84.50,29.60,36.24,11.58,0,282
41,28.20,34.31,3.47,0,283
38.20,23.60,34.11,3.09,0,284
84.30,34,39.57,10.70,0,285
40.20,32.50,36.04,2.17,0,286
37.90,29.30,33.79,1.89,0,287
39.90,31,34.57,2.32,0,288
37.60,32.40,35.09,1.55,0,289
83.90,29.10,34.72,11.81,0,290
36,29.60,33.35,1.67,0,291
39.80,31.80,35.94,2.05,0,292
39.70,28.60,33.88,2.31,0,293
84.600010,30.50,37.80,11.21,0,294
37.60,29.20,33.70,2.35,0,295
39.40,32.50,35.56,1.99,0,296
41.30,31.50,34.91,2.35,0,297
83.80,33.10,38.85,10.68,0,298
38.10,27.30,34.16,2.50,0,299
39.50,31.10,35.79,2.47,0,300
84.40,30.50,37.60,11.19,0,301
42,34.50,37.56,1.65,0,302
39.50,35,37.51,1.29,0,303
84.10,33.60,38.60,10.83,0,304
41.70,33.80,36.28,2.05,0,305
39.20,30.80,34.15,2.12,0,306
40.10,29.60,34.80,2.24,0,307
41.30,32.10,35.98,2.40,0,308
38.40,31.70,33.87,1.66,0,309
42,31.90,36.46,3.21,0,310
42.60,32.40,36.55,2.18,0,311
37.90,30.90,34.67,2.07,0,312
37,32.20,34.98,1.34,0,313
42.10,32.70,36.38,2.12,0,314
39.80,30.10,34.50,2.46,0,315
40.20,27.50,35.55,2.79,0,316
39.80,31.40,36.13,2.10,0,317
39.40,31.30,34.51,2.23,0,318
40.40,30.30,34.60,2.06,0,319
37.70,29.70,32.97,2.34,0,320
35.70,28.40,32.43,1.86,0,321
38.60,28.20,33.29,2.27,0,322
84,29.10,36.31,11.41,0,323
84.90,30.70,35.99,11.61,0,324
40,29.50,32.96,2.49,0,325
37,30.20,33.47,1.69,0,326
38,29.20,34.02,2.07,0,327
43.30,30.80,35.56,3.63,0,328
84.40,29.10,36.46,12.17,0,329
39.30,32.20,34.84,1.73,0,330
42.30,29.30,33.55,3.11,0,331
36.40,29.40,33.08,2,0,332
36.70,28.30,33.71,2.27,0,333
38.50,31.70,34.42,2.01,0,334
36.60,29.60,33.22,1.84,0,335
84.20,32.80,37.49,11.15,0,336
38.10,31.10,34.48,2.10,0,337
36.70,29.80,32.64,2.06,0,338
35.70,28.80,33.08,1.83,0,339
36.60,30.20,34.06,1.41,0,340
84.10,30.90,37.19,11.23,0,341
43.50,31.10,35.31,2.96,0,342
39.50,31.60,35,2.57,0,343
46.40,31.70,36.35,2.99,0,344
44.50,31.90,34.94,2.76,0,345
39,31.20,35.07,1.86,0,346
36.90,30.80,33.78,1.97,0,347
37,29.40,32.70,2.30,0,348
41.50,34,36.29,1.67,0,349
40.30,32.10,35.71,2.06,0,350
39.60,31.50,34.08,2.05,0,351
39.50,33.30,36.26,1.69,0,352
40.60,32.90,36.42,1.86,0,353
39.20,33.20,35.53,1.70,0,354
38.20,29.90,34.53,2.02,0,355
83.70,31.90,36.89,11.20,0,356
84,30.50,36,11.46,0,357
41.70,29.70,33.31,2.47,0,358
41,30.30,34.16,2.83,0,359
38.90,32.10,35.38,1.79,0,360
37.40,26.70,33.69,2.71,0,361
40.60,28.60,33.14,2.69,0,362
37.90,29.70,34.59,2.42,0,363
36.50,30.80,33.46,1.61,0,364
37.70,30.40,34.08,1.92,0,365
38.10,31.80,34.20,1.76,0,366
38.70,31.30,34.86,2.12,0,367
46.50,31.30,35.48,3.37,0,368
38.50,29,33.52,2.56,0,369
36.70,30.50,32.88,1.80,0,370
39.20,31,34.94,2.47,0,371
41.50,29,33.18,2.69,0,372
39.90,32.30,35.57,1.94,0,373
37.60,30.40,34.81,1.75,0,374
38.10,30.20,35.11,2.04,0,375
39,28.90,34.26,2.53,0,376
40.70,31.20,36.59,2.49,0,377
36.90,30.60,33.91,1.81,0,378
37.30,29.60,34.02,1.98,0,379
39.50,31.80,35.22,1.98,0,380
39.60,29.90,34.74,2.74,0,381
39.10,29.30,33.59,2.33,0,382
41.60,32.90,36.35,2.10,0,383
41.20,32.70,36.51,2.14,0,384
39.70,32.40,35.69,2.08,0,385
40.60,33.10,36.14,2.11,0,386
45.40,31.60,35.16,3.32,0,387
47.50,32.50,36.26,3.27,0,388
38.40,32.30,35.66,1.85,0,389
43.50,33.10,37.34,2.45,0,390
41.40,31.90,36.61,2.55,0,391
38.60,30.40,34.55,2.23,0,392
40.20,33,35.95,2.12,0,393
41.90,29.40,35.73,2.94,0,394
38,31.30,34.52,2.03,0,395
38.80,31.60,35.79,2.01,0,396
38.40,32.20,34.92,1.88,0,397
41.80,30.40,36.47,2.36,0,398
39.20,33.10,36.37,2.10,0,399
84.50,33.10,38.41,10.97,0,400
