Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
12.70,7,8.84,1.43,0,162
11.10,7,9.31,1.01,0,163
11.60,7.30,9.51,1.16,0,164
10.80,6.50,9,1.04,0,165
14.10,7.60,10.92,1.67,0,166
10.90,7.70,9.10,0.94,0,167
11.60,6,8.95,1.40,0,168
12.20,7.60,9.49,1.23,0,169
12.30,8.40,10.22,1.10,0,170
28.60,7.30,9.91,4.46,0,171
13.20,6.80,10.17,1.78,0,172
12.20,6.70,9.35,1.49,0,173
11.30,6.10,9.28,1.38,0,174
10.80,9.10,9.89,0.60,0,175
10.70,7.20,9.11,1.01,0,176
14,8,10.62,1.91,0,177
12.90,7.30,9.49,1.31,0,178
10.60,7.20,9.06,0.96,0,179
11.20,8.10,9.89,0.99,0,180
11.30,7.10,9.08,1.19,0,181
12.80,7.60,9.76,1.53,0,182
11.50,5,8.37,1.87,0,183
11.20,5.20,8.23,1.72,0,184
11.10,6.10,8.93,1.47,0,185
11,5.90,7.93,1.26,0,186
13.80,6.90,9.94,2.02,0,187
12.10,6.40,9.59,1.56,0,188
9.60,6.70,8.22,0.87,0,189
12,8.30,9.64,1.03,0,190
9.70,7.20,8.58,0.73,0,191
12.80,7.10,10.29,1.58,0,192
12,6.70,8.81,1.48,0,193
10.40,6.80,8.29,0.80,0,194
9.50,5.70,8.02,1.02,0,195
12.90,5.90,7.89,1.54,0,196
11.40,5.70,8.88,1.73,0,197
12,7.60,9.41,1.30,0,198
9.30,6.70,8.02,0.73,0,199
10.40,6,8.20,1.13,0,200
9,4.50,7.05,1.12,0,201
11.80,5.30,8.06,2.01,0,202
12.10,8.30,9.97,1.05,0,203
13.30,9.20,11.01,1.11,0,204
11.40,8.90,10.10,0.76,0,205
11.70,8.70,10.03,0.93,0,206
14.40,8,12,1.95,0,207
13,9.10,10.69,1.15,0,208
13.50,9,11.03,1.11,0,209
11.80,7.60,10.15,1.11,0,210
13.70,8.80,10.84,1.23,0,211
13.10,8.60,10.25,1.24,0,212
12.70,8.80,10.26,1.08,0,213
12,8.50,10.10,1.22,0,214
12.20,7.80,10.45,1.08,0,215
13.80,8.50,11.03,1.57,0,216
13.30,8.30,10.05,0.97,0,217
12.10,9.40,10.29,0.77,0,218
12.70,8.70,10.30,1.08,0,219
14.20,8.20,11.19,1.75,0,220
14.30,7.80,10.94,1.41,0,221
12.70,8.60,10.48,1.08,0,222
12.80,9.60,11.15,0.87,0,223
13,8.70,10.83,1.26,0,224
14.50,8.50,10.91,1.64,0,225
13.50,8.90,11.04,1.16,0,226
13.40,9.10,11.11,1.16,0,227
12.90,8.80,10.64,0.94,0,228
12,8.30,10.63,1.03,0,229
13.40,8.90,11.26,1.54,0,230
11.60,8.90,10.43,0.79,0,231
13.20,9.20,10.68,0.97,0,232
13.20,8.70,10.30,1.19,0,233
15.80,10.10,12.30,1.83,0,234
16.60,9.40,12.09,1.95,0,235
13.70,10,11.59,0.98,0,236
14.10,8.70,11.17,1.32,0,237
13,8.50,10.86,1.08,0,238
11.60,8.20,10.27,0.84,0,239
13.80,8.20,10.23,1.43,0,240
11.60,8.20,9.80,0.92,0,241
13.20,9.30,11,1.01,0,242
11.90,8.80,10.20,0.92,0,243
15,8.80,10.72,1.66,0,244
13.30,7.90,10.64,1.58,0,245
11.30,8.30,9.98,0.84,0,246
12.10,9.40,10.21,0.67,0,247
12.60,7.20,9.60,1.37,0,248
12.60,8.20,10.97,1.29,0,249
14.80,8.60,11.12,1.70,0,250
11.80,8.80,10.61,0.82,0,251
12.30,8.50,10.31,1.07,0,252
12.60,9,10.97,1.19,0,253
11.80,8.80,10.09,0.80,0,254
15.40,9.90,11.81,1.57,0,255
13.50,9.90,11.27,1.09,0,256
13.70,9.50,11.06,0.94,0,257
13.50,9.30,11.24,1.11,0,258
11,6.80,8.70,1.30,0,259
14.70,8.90,11.37,1.47,0,260
12,8.70,10.35,0.98,0,261
14.50,9.50,12.19,1.29,0,262
13.90,9.10,11.18,1.34,0,263
11.50,7.80,9.85,0.92,0,264
21.10,10.30,12.95,2.58,0,265
16.10,10.30,12.79,1.65,0,266
13,9.50,11.81,1.01,0,267
12.60,7.60,10.70,1.11,0,268
13.90,10.10,11.56,1.05,0,269
13.50,9.40,11.11,1.13,0,270
12.60,8.40,10.63,1,0,271
15.30,9.60,12.37,1.92,0,272
14.80,8.10,11.78,1.60,0,273
11.80,8.90,10.36,0.82,0,274
13.90,9.30,11.33,1.23,0,275
11.90,8.50,10.33,0.91,0,276
12.80,9.10,11.34,1.11,0,277
13.70,9.70,11.49,1.21,0,278
12.10,8.90,10.45,0.99,0,279
13.40,9.30,11.18,1.21,0,280
13.10,9.20,11.40,1.14,0,281
13.40,9.90,11.60,0.90,0,282
13.50,8.80,10.73,1.32,0,283
15,10.60,12.53,1.33,0,284
13.60,9.30,11.47,1.29,0,285
11.90,9.10,10.90,0.84,0,286
12.40,8.90,10.19,1.06,0,287
14.30,9.70,12.33,1.03,0,288
11.60,8.90,10.08,0.85,0,289
13.90,8.20,10.71,1.61,0,290
12.20,8.40,11.05,0.96,0,291
12.60,8.50,9.92,1.14,0,292
15,8.10,10.09,1.52,0,293
15,9.80,12.22,1.37,0,294
12.80,8.20,10.14,1.13,0,295
12.50,7.50,9.94,1.45,0,296
15.80,9.10,10.62,1.53,0,297
12.70,9.20,10.56,0.85,0,298
11.90,8.50,10.09,0.77,0,299
14.60,9.70,12.25,1.36,0,300
28.40,8.10,11.71,5.42,0,301
14.90,9.20,12.02,1.58,0,302
12.40,7.90,10.19,0.87,0,303
12.60,8.60,11,0.96,0,304
13.60,9.70,11.10,1.03,0,305
14,9.20,10.78,1.45,0,306
15.30,8,11.74,2.27,0,307
13,8.80,10.66,1.18,0,308
14.90,8.90,11.07,1.52,0,309
13.70,9.30,11.30,0.99,0,310
12.70,8.60,11.26,1.04,0,311
13.90,9.30,12,1.13,0,312
12,9.50,11,0.89,0,313
14.20,9.50,12.01,1.38,0,314
14.70,8.70,11.15,1.55,0,315
13.50,9.90,11.57,0.92,0,316
13.30,8.80,10.74,1.13,0,317
12.90,8.70,11.32,1.11,0,318
13.10,8.70,10.43,1.20,0,319
14.70,8.90,12.31,1.99,0,320
13.40,9.10,11.05,1.41,0,321
13,9.50,11.05,0.89,0,322
14.40,10,11.28,1.11,0,323
13.40,10,11.23,0.90,0,324
20.80,8.60,12.63,2.78,0,325
14.50,8.80,11.82,1.59,0,326
14.70,9.10,11.49,1.30,0,327
13,10.30,11.76,0.84,0,328
13.40,9.40,11.07,1.21,0,329
20.20,7,12.22,3.70,0,330
39.70,10.20,15.77,6.09,0,331
14,7.10,9.69,1.83,0,332
12.10,7,9.78,1.43,0,333
12.50,7.70,9.91,1.41,0,334
14.40,7.40,10.32,1.61,0,335
13.10,5.70,8.84,1.68,0,336
13.70,7.20,9.78,1.69,0,337
13.50,7.10,10.17,1.90,0,338
11.50,8,9.62,1.03,0,339
15.80,7.60,10.12,1.94,0,340
11.70,7.90,10.04,1.04,0,341
13.40,7.70,9.44,1.27,0,342
19.30,7,11.21,2.68,0,343
12.40,8.60,10.43,1.05,0,344
10.70,7.50,8.81,0.80,0,345
11.90,7,9.14,1.20,0,346
12.20,8.50,10.69,1,0,347
29.70,7.40,9.72,4.75,0,348
12.90,7.40,10.21,1.55,0,349
13.40,7.70,9.67,1.29,0,350
20.70,8.70,10.55,2.57,0,351
12.90,7.50,9.74,1.35,0,352
16.60,7.70,9.68,1.82,0,353
14.50,8.90,10.39,1.46,0,354
16,7.20,10.68,2.34,0,355
12.10,8,9.59,1.06,0,356
13.70,9.10,10.25,1.25,0,357
11.30,6.90,9.13,1.05,0,358
15.10,8.20,10.35,1.72,0,359
14.80,6.40,10,1.73,0,360
12.30,7.70,10,1.29,0,361
11.40,7.90,9.66,1.08,0,362
12.70,7.70,10.32,1.23,0,363
12.20,7.60,10.76,1.08,0,364
13,7.90,9.54,1.17,0,365
13.30,8.70,10.69,1.41,0,366
12.20,7.80,10.19,1.25,0,367
15.60,7.20,10.18,1.90,0,368
15.70,8.60,10.44,1.58,0,369
12.20,7.80,9.58,1.20,0,370
14.20,7.10,10.55,1.71,0,371
13.60,7.80,9.74,1.32,0,372
11.20,7.90,10.01,0.92,0,373
14.40,9.10,10.80,1.39,0,374
12.40,7.50,9.96,1.18,0,375
11.80,7.30,9.55,1.09,0,376
12.10,7.70,9.83,1.43,0,377
12.60,6.40,9.38,1.73,0,378
11.50,7.60,9.03,0.83,0,379
11.60,6.80,9.12,1.38,0,380
12.70,7.10,9.22,1.21,0,381
12.50,8,9.71,0.95,0,382
12,7.60,9.21,1.14,0,383
11.10,6,8.86,1.16,0,384
10.30,7.80,9.18,0.64,0,385
11,7.30,9.13,0.87,0,386
13.20,8,10.02,1.13,0,387
10.80,7.50,9.15,0.91,0,388
12.10,6.30,9.50,1.48,0,389
11.20,7.20,9.56,1.25,0,390
12.10,7.80,9.72,1.07,0,391
10.60,8.10,9.63,0.67,0,392
65.90,8.30,13.67,12.52,0,393
12.60,6.50,9.02,1.55,0,394
11.90,8.10,10.14,1.16,0,395
11.90,7.10,9.64,1.35,0,396
11.70,8.70,10.16,0.91,0,397
11.10,6.10,9.24,1.14,0,398
13.40,8.10,10.64,1.27,0,399
10.90,6.10,8.47,1.29,0,400
11.10,7.40,9.25,1.08,0,401
13.60,8.50,11.20,1.34,0,402
11.70,6.70,9.16,1.34,0,403
31,9.50,11.69,4.58,0,404
11.80,7.10,9.88,1.21,0,405
12.50,6.40,9.20,1.60,0,406
11.80,7.90,9.81,1.26,0,407
12.60,7.50,9.67,1.27,0,408
11.40,7.20,9.02,1.11,0,409
12.20,8.40,10.38,1.05,0,410
13.30,7.60,10.62,1.56,0,411
11.90,8.10,9.69,0.95,0,412
15.90,8.20,10.55,1.91,0,413
13,7.50,10.35,1.47,0,414
11.40,7.20,8.80,1.12,0,415
11.80,6.70,9.28,1.22,0,416
14.40,9.10,10.47,1.23,0,417
11.60,6.40,8.29,1.68,0,418
14,8.80,11.29,1.45,0,419
13.60,7.70,9.72,1.33,0,420
11.20,7.50,8.80,0.85,0,421
11.40,6.90,9.34,1.25,0,422
20.20,10.30,12.50,2.18,0,423
15.60,8.90,11.21,1.62,0,424
14.60,7,9.89,1.89,0,425
10.20,6.90,8.37,0.85,0,426
10.10,7.30,8.71,0.74,0,427
11.80,8.20,9.48,0.97,0,428
10,6,7.72,1.04,0,429
14.30,6.90,11.02,1.82,0,430
9.70,6.50,7.95,0.95,0,431
10.30,5.10,8.38,1.23,0,432
9.40,5.90,7.69,1.04,0,433
11,7.10,9.03,1,0,434
9.80,5.20,7.90,1.07,0,435
11.90,7.80,9.83,1.18,0,436
12.90,7.20,9.43,1.54,0,437
