Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
29.20,22.90,26.39,1.65,0,161
29.70,21,25.97,2.33,0,162
85.20,21.20,29.65,13.36,0,163
31.60,24.70,26.64,1.84,0,164
30.20,22.10,26.31,2.08,0,165
85.50,22.80,28.75,13.47,0,166
29.30,22.60,25.63,1.85,0,167
31.70,24,26.69,2.18,0,168
53,23.40,28.47,6.30,0,169
29.90,23.40,26.62,2.02,0,170
30.80,23,27.02,1.86,0,171
84.399990,16.80,28.61,13.49,0,172
33,21.50,27.80,2.60,0,173
85.600010,23.80,30.43,13.15,0,174
31,23.60,27.15,2.08,0,175
29.70,14.70,26.07,3.43,0,176
31,13.40,26.14,3.70,0,177
32.30,20.40,28.59,3.18,0,178
32.40,22.30,27.27,3.19,0,179
85,20.70,33.62,17.81,0,180
33.40,22.60,27.35,3.18,0,181
84,21.40,31.65,12.71,0,182
34,21.80,27.92,3.49,0,183
33.10,23.30,27.76,2.81,0,184
34.30,25.60,29.95,2.63,0,185
32.90,22.20,27.24,3.15,0,186
33.50,26.60,29.85,2.11,0,187
33.50,22.40,27.69,3.10,0,188
32.10,22,27.79,3.15,0,189
32.90,23.90,27.71,2.46,0,190
31.90,21.80,26.56,2.58,0,191
32.50,22.70,26.84,2.78,0,192
84.20,23.60,30.94,12.88,0,193
32.20,23.60,28.37,2.62,0,194
33.30,23.10,27.28,2.80,0,195
33.50,23,28.06,3.32,0,196
84.30,22.10,30.03,13.11,0,197
31.20,20.90,26.59,2.53,0,198
32.40,21.90,27.13,2.75,0,199
84.20,18.30,29.82,13.13,0,200
34.70,21.80,27.14,3.87,0,201
32.60,20.80,25.67,2.48,0,202
29.40,19.90,25.39,2.79,0,203
32.50,22.70,27.70,3.04,0,204
31.40,19.90,25.17,3.27,0,205
32.90,21.20,26.03,3.31,0,206
32.20,20.50,27.35,2.99,0,207
84.600010,20,27.02,13.74,0,208
30.80,23.30,27.01,2.24,0,209
29.60,21.90,26.08,2.37,0,210
29.50,19.70,24.61,2.81,0,211
29.80,23,26.58,2.21,0,212
30.80,20.70,25.42,2.90,0,213
