Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
24.10,14.90,19.94,2.70,0,161
22.90,17.50,19.93,1.56,0,162
23.50,16.50,19.71,1.98,0,163
25.60,17.40,20.67,2.32,0,164
23.60,17.20,20.34,2.12,0,165
24.80,17,19.98,2.10,0,166
24.60,18.30,21.52,1.72,0,167
26.40,14.30,20.39,3.38,0,168
24.20,17.50,19.97,1.95,0,169
23.30,14.40,19.59,2.41,0,170
25.10,16.40,20.50,2.26,0,171
24.40,17.70,20.57,1.64,0,172
24,16.90,20.24,2,0,173
26.20,16.60,20.56,2.32,0,174
24.80,14.10,19.50,2.55,0,175
30.50,18.70,23.02,2.90,0,176
24.30,17.80,20.59,1.68,0,177
23.60,16.50,19.76,1.83,0,178
24.50,16.50,20.36,1.96,0,179
23.60,17,20.30,2.17,0,180
26.10,15.80,20.96,3,0,181
23,15.30,20.33,1.99,0,182
24.50,17.60,20.87,2.12,0,183
23,15.20,19.43,2.09,0,184
23.60,16.90,19.78,1.70,0,185
24.40,15.60,19.32,2.18,0,186
24,16.10,20.45,2.04,0,187
24.80,17.70,21.08,1.93,0,188
25,20.60,23.17,1.32,0,189
25.40,19.40,22.08,1.65,0,190
29.60,18.60,22.33,2.49,0,191
24.80,18.40,21.78,2.25,0,192
26.70,17.80,22.30,2.63,0,193
23.80,18.10,20.24,1.50,0,194
37.80,16.40,22.11,4.15,0,195
27.20,17.40,21.43,2.76,0,196
23.90,14.80,20.75,2.25,0,197
84.100010,17.70,24.36,14.22,0,198
24,17.60,20.51,1.72,0,199
84,16.70,22.80,14.51,0,200
24.40,14.80,20.56,2.24,0,201
20.50,15.70,18.64,1.42,0,202
23.90,17.60,20.93,2.05,0,203
24.20,15.20,19.24,2.10,0,204
26.20,15.30,20.04,2.40,0,205
21.60,15.50,18.63,1.99,0,206
24.40,16.50,20.69,1.94,0,207
23.20,16.10,19.33,1.86,0,208
25.30,16.40,20,2.28,0,209
24.70,16.40,19.63,1.98,0,210
24.30,15.60,19.78,2.19,0,211
24.10,16.40,19.87,2.05,0,212
25.90,16.60,20.37,2.83,0,213
23.70,17.70,20.22,1.72,0,214
22.50,17.50,20.43,1.48,0,215
22.40,15.60,19.68,1.89,0,216
25.90,16.80,19.71,2.36,0,217
22.40,15.50,19.59,1.96,0,218
25.80,18.70,21.12,1.83,0,219
26.50,15,20.24,3.26,0,220
25.60,17.30,21.47,2.25,0,221
26.10,15.10,20.28,2.91,0,222
25,17.50,21.48,2.22,0,223
25.30,18.40,21.02,1.53,0,224
25.20,16.50,20.25,2.14,0,225
27,17.30,20.93,2.24,0,226
24.30,15.70,19.21,2.34,0,227
24.20,16.10,20.47,2.66,0,228
25.30,16.30,21.44,2.35,0,229
27.50,15.50,19.84,3.05,0,230
23.90,16.30,19.41,1.98,0,231
26,16.60,20,2.09,0,232
24.30,15.70,19.91,2.25,0,233
27.80,18,21.77,2.40,0,234
26.30,16.60,20.80,2.63,0,235
25.50,18.40,21.04,1.68,0,236
25.10,17.80,21.17,2.04,0,237
26,18.40,21.12,2.26,0,238
24.90,18.10,22.62,1.65,0,239
24.10,17.80,21.12,1.71,0,240
24.50,18.30,20.97,1.67,0,241
29.50,18.20,22.55,2.54,0,242
26.90,19,22.88,2,0,243
27.40,19,21.76,2.43,0,244
26.20,15.40,21.82,2.27,0,245
26.80,17.20,21.38,2.47,0,246
83.80,16,23.18,14.48,0,247
23.70,16.80,20.50,2.04,0,248
26.20,16.30,20.80,2.55,0,249
26.20,18.70,21.55,2.12,0,250
23.80,16.30,20.97,2.26,0,251
28.40,18.20,22.47,2.40,0,252
84,17.40,25.50,13.97,0,253
24.70,17.60,20.53,1.71,0,254
23.70,14.90,20.15,2.01,0,255
24.30,17.30,21.51,2.31,0,256
23.50,17.30,20.66,1.76,0,257
25.60,18.50,21.30,1.73,0,258
25.50,18.20,21.45,2.08,0,259
24,17.90,21.03,1.69,0,260
25,15.90,20.74,2.25,0,261
27.40,19.80,23.67,2.19,0,262
26.40,18.90,22.27,1.74,0,263
25.60,17.20,22.32,2.56,0,264
25.30,17.20,20.77,1.90,0,265
24.60,16.50,20.73,2.33,0,266
24.10,16.50,20.47,2.12,0,267
26.40,18.60,22.23,2.11,0,268
23.30,15.70,18.87,2.01,0,269
85.30,18.80,24.03,14.51,0,270
23.20,16,18.87,1.99,0,271
25.30,17.50,20.62,2.16,0,272
24,15.20,19.21,2.51,0,273
84.10,15.80,23.50,14.42,0,274
22.60,15.60,19.20,1.95,0,275
23,17.90,19.79,1.52,0,276
22.50,16.60,19.20,1.60,0,277
23,16.60,19.96,1.84,0,278
25.20,17.30,20.25,1.96,0,279
24.40,17.80,21.31,2.22,0,280
24.60,15.40,19.12,2.01,0,281
24.10,14.30,19.93,2.53,0,282
24.60,16.70,20.11,2.25,0,283
24.80,17.40,20.96,2.08,0,284
23.10,15.30,20.07,2.27,0,285
26.70,17,21.35,2.26,0,286
27.60,16.90,20.17,3.08,0,287
25.10,17.50,20.99,2.17,0,288
22.70,16.80,20.22,1.77,0,289
24.20,17.60,20.69,1.82,0,290
21.70,14.50,17.54,1.99,0,291
21.50,14.70,18.13,1.99,0,292
22.60,18.20,20.04,1.67,0,293
23.60,16.20,19.95,2.02,0,294
23.60,15.80,18.83,2.21,0,295
26.10,16,19.93,2.64,0,296
24.60,16.10,20.04,2.27,0,297
23.20,15,18.16,1.76,0,298
23.20,15.90,18.90,1.80,0,299
21.70,15.50,18.41,1.62,0,300
25.10,17.10,19.60,1.85,0,301
22.30,16,18.83,1.69,0,302
25.70,17.50,21.56,2.34,0,303
26.10,14.10,19.04,2.82,0,304
23.80,16.60,19.47,2.03,0,305
23,17.10,19.60,1.56,0,306
21.40,15.50,18.38,1.78,0,307
84.100010,12.70,22.33,15.03,0,308
25.70,15.20,19,3.39,0,309
23.90,13.70,17.89,2.72,0,310
26.50,15.90,20.41,2.83,0,311
23.40,15.80,18.90,2.10,0,312
24.80,18,20.46,1.77,0,313
22.60,14.70,19.90,2.08,0,314
21.70,15,18.51,1.76,0,315
19.70,13.60,18.13,1.42,0,316
22.30,14.50,18.81,2.52,0,317
23.60,15.30,19.17,1.87,0,318
25.10,17.10,20.40,1.90,0,319
22.60,15.90,19.10,1.91,0,320
23.70,17.40,20.04,1.52,0,321
22.30,16.30,18.56,1.60,0,322
20.40,15.50,18.54,1.20,0,323
22.10,16.60,19.02,1.56,0,324
24.50,15.90,18.82,2.41,0,325
21.50,15,18.01,1.69,0,326
23.70,16.40,19.71,1.89,0,327
25.20,17.80,20.90,2.35,0,328
22.10,16.70,19.22,1.64,0,329
22.10,16.70,19.11,1.29,0,330
22.90,16.80,19.71,1.42,0,331
25.70,15.50,20.59,2.35,0,332
23.80,16.80,19.92,2.19,0,333
24,14.80,19.25,2.46,0,334
27.60,17,20.97,2.68,0,335
22.20,15.80,19.45,1.72,0,336
22.30,14.40,18.79,1.95,0,337
22.40,13.40,18.30,2.32,0,338
23.30,16.30,19.54,1.93,0,339
25,15.10,19.63,2.57,0,340
21.80,14.90,19.27,1.82,0,341
21.10,13.40,16.98,1.85,0,342
25.30,17,21.07,2.53,0,343
23.40,16.50,19.55,1.96,0,344
22.20,13.80,18.50,2.48,0,345
24.10,14.90,18.71,2.44,0,346
22.70,16.60,19.24,1.57,0,347
23.70,16.10,19.66,1.93,0,348
21,13.90,17.65,1.85,0,349
20.90,15.10,18.10,1.72,0,350
21.20,12.70,17.97,2.04,0,351
23.60,13,17.93,2.57,0,352
29.90,14.20,20.25,3.75,0,353
23.70,15.30,18.91,1.80,0,354
24.10,15.20,19.02,2.59,0,355
24.70,15.70,19.62,2.30,0,356
21.60,14.50,18.43,2.17,0,357
20.80,13.80,17.69,1.69,0,358
22.30,15.40,18.19,1.97,0,359
22.80,14.80,18.53,2.33,0,360
24.20,15.30,18.64,2.47,0,361
22.40,15.40,18.50,2.19,0,362
22,14.40,17.56,1.98,0,363
23.80,15,18.77,2.32,0,364
26.20,14.50,19.67,2.94,0,365
21.50,12.70,17.95,2,0,366
20.70,15.40,18.10,1.52,0,367
21.30,14.90,18.76,1.82,0,368
22.30,13,17.92,2.08,0,369
22.70,13.90,18.10,2.57,0,370
21.70,14.50,18.14,2.14,0,371
83.600010,14.70,22.20,14.99,0,372
23.40,15.20,18.82,2.48,0,373
24.60,17.20,20.47,2.29,0,374
23.40,15.90,19.57,2.55,0,375
25,16.40,19.90,2.01,0,376
23.60,15.70,19.31,2.09,0,377
26.10,15.70,20.22,2.62,0,378
26.50,17.30,20.31,2.46,0,379
22.70,15.80,19.14,2.19,0,380
26.80,16.50,20.43,2.70,0,381
24.30,15.10,19.42,2.49,0,382
21.70,14.70,17.78,2.12,0,383
25.40,15.80,20.34,2.66,0,384
24.60,15.10,19.44,2.44,0,385
23,16.80,19.15,1.63,0,386
25.50,15.70,20.34,2.72,0,387
29.60,15.80,20.38,3.21,0,388
22,13,18.26,2.25,0,389
84.100010,14,22.65,14.80,0,390
21.20,13,18.48,2.17,0,391
22.10,14.30,19.02,1.97,0,392
25.80,16.10,20.01,2.75,0,393
23.50,14.70,19.53,2.08,0,394
21.80,13.90,18.04,2.55,0,395
25.20,15.40,19.87,2.88,0,396
22.40,16.30,19.32,1.79,0,397
24.90,14.60,19.92,2.29,0,398
26,16,19.78,2.34,0,399
23.20,15.10,19.34,2.19,0,400
24.20,14.40,19.74,2.18,0,401
84.30,16.40,23.44,15.57,0,402
24,16.30,18.93,2.04,0,403
26.20,15.90,20.24,2.44,0,404
23.30,16.10,19.48,1.91,0,405
21.50,14,17.85,1.80,0,406
24.90,16.20,19.63,2.15,0,407
22,15.40,18.50,1.77,0,408
23.70,14.60,18.04,2.05,0,409
84,14.70,21.43,14.88,0,410
25.80,11.80,18.02,3.53,0,411
24.50,14.50,19.41,2.71,0,412
23,14.10,18.03,2.40,0,413
27.10,16.30,19.48,2.66,0,414
23.80,15.40,19.99,2.25,0,415
24.80,13.80,19.11,2.62,0,416
23.30,13.20,18.39,3,0,417
23.10,15.90,19.21,1.82,0,418
24.90,14.60,20.65,3.10,0,419
23.90,14.70,19.81,2.78,0,420
23.30,14.90,18.34,2.28,0,421
23.20,16,19.78,2.31,0,422
24.30,14.30,18.68,2.60,0,423
23,15.20,18.87,2.05,0,424
25.50,16.40,19.30,2.37,0,425
28.10,12.50,21.02,3.94,0,426
25.20,16.90,20.21,2.47,0,427
22.70,13.30,18.12,2.46,0,428
26.20,14.60,19.34,3.15,0,429
26.20,16.50,22.46,2.42,0,430
25.80,16.40,19.56,2.08,0,431
22.90,13.20,18.82,2.76,0,432
22.80,15.40,19.57,2.04,0,433
27.40,15.20,20.95,3.02,0,434
24.60,13.80,20.11,2.79,0,435
26.10,15.70,20.65,2.99,0,436
25.10,14.70,20.31,3.08,0,437
22.20,14.60,18.88,2.16,0,438
29.60,16.10,20.02,2.98,0,439
25.30,17.20,20.90,2.23,0,440
24.30,15.90,20.74,2.54,0,441
24.80,16.90,20.62,2.64,0,442
25.30,15.70,19.72,2.65,0,443
28.40,15.80,22.13,3.72,0,444
25.10,13.50,19.90,2.81,0,445
29.40,17.60,21.40,3.08,0,446
21.60,17,19.49,1.41,0,447
25,15.70,20.09,2.76,0,448
27.50,17.40,21.32,2.78,0,449
26.10,17.10,20.43,2.29,0,450
23.60,14.60,19.70,2.58,0,451
23.50,14.60,18.77,2.52,0,452
24.10,13.70,17.88,2.79,0,453
27.40,17.30,21.04,2.73,0,454
24.60,14.80,20,2.92,0,455
25.70,13.60,20.31,3.21,0,456
23.80,16.50,19.73,2.28,0,457
25.70,14.80,19.08,2.50,0,458
23.40,14,19.28,2.42,0,459
23.10,16,19.20,2.41,0,460
27.70,17.70,22.15,2.63,0,461
23.10,13.10,17.49,3.07,0,462
24.70,15.20,18.58,2.68,0,463
22.70,14.30,18.99,2.55,0,464
23.70,14.20,19.17,2.80,0,465
