Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
10.90,7.60,9.54,0.89,0,161
11.30,6.90,8.74,1,0,162
10.70,7.20,8.87,0.89,0,163
12.20,8.70,10.33,1.03,0,164
10.60,7.60,9.12,0.90,0,165
12.10,8.10,10.10,1.19,0,166
11.60,7.40,9.19,1.13,0,167
11.30,6.10,8.08,1.32,0,168
10.60,7,8.21,0.99,0,169
9.70,7.10,8.52,0.72,0,170
11.30,8.30,9.79,0.88,0,171
12.80,8.30,9.86,1.09,0,172
10.20,6.80,8.46,0.92,0,173
11.40,6.60,8.24,1.30,0,174
10.10,5.80,8.43,1.15,0,175
10,6.50,8.51,0.96,0,176
11.60,7.70,9.80,1.07,0,177
12,7.80,10.31,1.12,0,178
11.80,7.50,9.29,1.04,0,179
11.40,8.20,9.93,0.80,0,180
10.50,6.20,9.31,0.98,0,181
12.60,7.60,9.51,1.23,0,182
12.50,8.10,10.03,1.05,0,183
12.20,7.60,9.41,1.04,0,184
11.20,7.80,9.55,1.14,0,185
12,7.50,9.46,1.23,0,186
10.30,7.50,8.87,0.79,0,187
10.60,7.50,9.09,0.95,0,188
10.70,7.60,9.02,0.84,0,189
13.10,8,10.47,1.18,0,190
13.60,8.70,10.32,0.99,0,191
12.60,9,10.68,1.17,0,192
11.90,7.20,9.19,1.19,0,193
12.90,6.40,8.56,1.37,0,194
10,6.70,8.30,0.90,0,195
11.30,7.70,9.30,0.94,0,196
12,8,9.90,1.03,0,197
11.10,7.60,9.81,0.80,0,198
10.80,7.40,8.97,1.03,0,199
9.80,6.20,7.89,0.98,0,200
10,5.90,7.57,1.17,0,201
10,6.70,8.28,0.93,0,202
11,8.40,9.52,0.81,0,203
11.50,9.30,10.40,0.66,0,204
11.20,7.40,9.24,0.89,0,205
11.90,6.70,8.71,1.18,0,206
11,7.10,8.77,1.08,0,207
10.60,6.40,8.13,0.86,0,208
12.40,8.50,10.52,1.13,0,209
11.60,8.30,9.59,0.85,0,210
12,7,9.47,1.28,0,211
11.30,5.40,8.40,1.43,0,212
10.30,6.90,8.20,0.96,0,213
10.30,6.20,7.73,0.99,0,214
11.40,7.30,9.21,1.15,0,215
10.80,5.80,7.79,1.42,0,216
9.60,5.50,7.84,1.12,0,217
10.20,7.50,8.91,0.63,0,218
10.10,7,8.72,0.76,0,219
10.90,7.30,8.98,0.92,0,220
10.60,7,8.65,0.86,0,221
12.40,8.10,9.51,1.07,0,222
9.80,7.10,8.62,0.84,0,223
19.70,6.40,8.10,2.83,0,224
9.60,5.20,7.20,1.10,0,225
48.50,5.40,8.61,9.42,0,226
11.40,7.40,8.92,1.07,0,227
11.10,8.80,9.93,0.72,0,228
12.10,8.10,9.96,1.15,0,229
10.40,7.10,8.49,0.85,0,230
11.20,8.60,9.70,0.91,0,231
12.50,6.70,10.13,1.40,0,232
11.30,7.50,9.17,1.09,0,233
11.90,8.20,10.01,1.05,0,234
12.40,7.50,10.39,1.26,0,235
9.20,6.20,7.61,0.89,0,236
12.20,6.20,8.92,1.30,0,237
10.40,7.40,8.89,0.80,0,238
10.20,6.30,8.81,0.97,0,239
11.90,8.70,9.96,0.81,0,240
12.40,8.20,10.23,1.15,0,241
10.60,7.30,8.75,1.02,0,242
10.90,7.90,9.14,0.83,0,243
12.30,8.80,10.06,1.04,0,244
8.90,6.20,7.61,0.67,0,245
10.10,7,8.86,0.87,0,246
11.70,6.70,8.52,1.11,0,247
10.70,6.40,8.23,1.22,0,248
10.20,7.30,8.90,0.91,0,249
10.30,6.30,8.28,1.22,0,250
9.60,5.70,6.92,0.84,0,251
11.60,6.30,8.48,1.41,0,252
8.80,5.30,7.24,0.93,0,253
10.90,7.10,8.45,1.16,0,254
9.70,5.90,7.83,0.97,0,255
9.20,6.20,7.40,0.77,0,256
9.30,6.30,7.94,0.88,0,257
10,7.10,8.62,0.99,0,258
9.70,5.90,7.43,1.06,0,259
10.80,6.20,8.33,1.16,0,260
10.60,6.90,8.12,1.15,0,261
9.70,5.10,8.07,1.22,0,262
9.50,5.40,7.67,1.04,0,263
9.80,6.30,8.06,0.97,0,264
10.50,5.80,8.71,1.21,0,265
10.70,6.10,7.69,1.15,0,266
10.90,6.30,8.23,1.16,0,267
10.30,5.70,7.74,1.29,0,268
9.10,5.80,7.57,0.96,0,269
10.20,6.50,8.07,0.86,0,270
10.30,6.20,8.25,1.21,0,271
9.80,6.30,7.73,0.98,0,272
12.80,7,8.88,1.36,0,273
11.30,7.40,9.34,1.06,0,274
9.30,5.80,7.49,0.71,0,275
10.30,7.20,8.80,0.86,0,276
10,6.60,8.80,0.93,0,277
9.50,6.40,7.68,0.79,0,278
9.50,7,8.28,0.68,0,279
11,6.30,8.96,1.43,0,280
9.50,5.20,7.96,1.11,0,281
11.60,6.20,8.77,1.36,0,282
11.30,6.40,8.57,1.03,0,283
9.90,6.50,7.61,0.99,0,284
10.10,6.40,8.17,1.18,0,285
11.50,7,8.89,1.15,0,286
10,5.20,7.40,1.12,0,287
10.30,5.90,8.31,1.31,0,288
9.80,5.90,7.95,0.95,0,289
7.70,4.60,6.50,0.78,0,290
9.60,6.70,8.14,0.68,0,291
11.20,6.70,8.27,1.14,0,292
12.10,8.20,10.13,1.16,0,293
13.30,8,10.64,1.19,0,294
12.30,9.80,10.80,0.73,0,295
11,7.50,8.90,0.89,0,296
12.30,8,9.85,1.17,0,297
13.10,8.60,10.34,1.15,0,298
9.90,6.40,8.10,0.79,0,299
11.20,7.50,9.21,0.83,0,300
12.20,7.90,10.06,1.14,0,301
10.70,6.30,8.58,1.20,0,302
12.20,8.50,10.47,1.07,0,303
11.80,8,9.25,0.93,0,304
10.70,7.40,9.09,0.99,0,305
12.60,6.70,10.04,1.37,0,306
10.90,8,9.58,0.93,0,307
9.30,5,7.52,1.33,0,308
11.70,7.30,9.02,1.16,0,309
12.10,6.50,9.41,1.64,0,310
10.30,7.50,8.73,0.72,0,311
14.20,8.50,10.41,1.28,0,312
11.80,7.60,9.78,0.94,0,313
11.40,7.80,9.27,0.95,0,314
11.20,7.20,9.28,1.19,0,315
11.30,7.70,9.27,0.94,0,316
10.40,7.30,8.92,0.95,0,317
11.60,8.60,10.30,0.99,0,318
11.80,7.50,10.16,1.06,0,319
9.90,6.30,7.77,0.96,0,320
10.80,7,8.92,1.17,0,321
22.50,7.80,9.50,3.15,0,322
11,7.60,9.39,0.88,0,323
14.10,8.10,11,1.26,0,324
13.60,9.10,10.87,1.20,0,325
11.50,6.50,8.89,1.07,0,326
12.20,7.60,9.49,1.16,0,327
14,9.30,11.04,1.22,0,328
11,7.70,8.98,0.88,0,329
12.50,7.60,10.12,1.27,0,330
13.80,8.40,10.70,1.26,0,331
9.40,6.80,8.40,0.63,0,332
10.80,6.80,8.52,0.88,0,333
12.10,8.20,9.79,1.19,0,334
11.70,7.60,9.33,1.16,0,335
11.80,8,10.07,1.03,0,336
12.90,8.10,10.33,1.25,0,337
12.50,7.70,9.53,1.28,0,338
12.10,8.10,10.03,1.05,0,339
12,7.90,9.96,1.22,0,340
11.20,7.20,9.06,0.99,0,341
11.90,7.40,9.75,1.18,0,342
10.50,6.30,8.70,1.08,0,343
8.80,6,7.28,0.84,0,344
9.40,5.80,7.70,1.17,0,345
10.90,7.60,8.93,0.99,0,346
10.30,7.30,8.94,1,0,347
11.20,7.90,9.81,1.03,0,348
13.20,7.20,9.72,1.37,0,349
10.20,7.40,8.70,0.79,0,350
11.70,8.20,9.90,1,0,351
11,6.90,9.34,0.91,0,352
13.60,9,11.09,1.13,0,353
11.40,7,8.84,1.18,0,354
12.50,8.20,10.19,1.09,0,355
10.60,6.80,8.68,1.10,0,356
12.40,7.90,9.83,0.98,0,357
11.60,8.90,10.14,0.71,0,358
9.10,6.50,8.01,0.67,0,359
10.30,6.90,8.59,0.79,0,360
13.40,8.30,11.07,1.42,0,361
10.30,8.10,9.20,0.67,0,362
10.90,7.90,9.41,0.78,0,363
11.40,7.90,10.16,0.81,0,364
11.90,7.50,9.62,1.14,0,365
11.10,7.70,9.36,0.86,0,366
10.40,7.90,9.04,0.78,0,367
12.90,8.20,10.07,1.25,0,368
11.10,7.10,9.03,0.94,0,369
12.40,8.50,10.15,1.03,0,370
13.10,6.90,10.03,1.82,0,371
10.40,7.80,9.11,0.67,0,372
13,8.80,10.48,1.02,0,373
13.30,8.40,10.78,1.39,0,374
10.90,7.20,8.94,1.16,0,375
12.40,8.50,10.41,0.97,0,376
13.20,7.60,10.26,1.41,0,377
11.10,7.30,9.12,1.13,0,378
11.30,7.60,9.45,1.04,0,379
13.80,8.10,10.96,1.41,0,380
10.40,6.20,7.80,1.19,0,381
10,7.60,8.69,0.86,0,382
11.60,6.70,8.40,1.33,0,383
11,8.30,9.38,0.71,0,384
11.90,8.40,10.27,0.87,0,385
13.60,9,10.56,1.38,0,386
10.20,6.30,8.61,0.99,0,387
12.50,8.20,9.91,1.23,0,388
12.50,7.30,9.28,1.54,0,389
10.10,6.50,8.24,1.01,0,390
12.90,8.20,10.19,1.32,0,391
10.50,7,8.69,0.97,0,392
8.20,4.80,6.53,1.05,0,393
10.10,7.40,8.82,0.81,0,394
11.50,6.70,8.16,1.16,0,395
9.70,5.40,7.30,1.13,0,396
12.40,6.60,8.28,1.37,0,397
12.30,7.40,9.12,1.27,0,398
12,8.50,9.72,0.96,0,399
10.90,7.10,9.33,1.04,0,400
10.10,6.10,7.42,0.91,0,401
11.70,7.20,9.81,1,0,402
10.90,7.80,9.46,0.99,0,403
9.20,6.30,7.99,0.83,0,404
8.90,5.70,7.45,0.87,0,405
10,6.20,8.35,1.01,0,406
10.60,7.70,8.64,0.84,0,407
9.20,5.30,7.68,0.94,0,408
10.10,5.90,7.44,1.10,0,409
11.40,5.40,8.02,1.40,0,410
11.80,8,9.71,1.06,0,411
11.80,7.80,9.55,1.01,0,412
