M,C,d,L,R,T,N
1.03,24.3960,0.4170,83.91,0.9030,2025-01-02 12:15:54,3.0
1.0060,24.3150,0.3970,83.68,0.8920,2025-01-02 12:15:54,3.0
0.9660,24.2380,0.4450,83.82,0.8880,2025-01-02 12:36:30,4.0
1.0330,24.2430,0.3540,83.7840,0.9470,2025-01-02 12:36:30,4.0
1.0210,24.2290,0.4630,83.6080,0.8970,2025-01-02 12:36:30,4.0
1.0260,24.2560,0.2140,83.8120,0.8360,2025-01-02 12:36:30,4.0
1.0620,24.1810,0.3410,83.8860,0.9610,2025-01-02 12:36:30,4.0
1.0050,24.2010,0.6590,83.6890,0.8950,2025-01-02 12:36:30,4.0
1.0080,24.2120,0.4620,83.6920,0.8930,2025-01-02 12:36:30,4.0
1.0320,24.2850,0.2620,83.5070,0.8530,2025-01-02 12:36:30,4.0
1.0540,24.2670,0.4510,84.0770,0.9350,2025-01-02 12:36:30,4.0
1.0060,24.2530,0.2880,83.5890,0.7680,2025-01-02 12:36:30,4.0
1.0240,24.2580,0.3770,83.6890,0.8760,2025-01-02 12:36:30,4.0
1.0670,24.2610,0.4190,83.7150,0.7830,2025-01-02 12:36:30,4.0
1.06,24.2760,0.4180,83.6920,0.9340,2025-01-02 12:36:30,4.0
1.0030,24.2820,0.5240,83.6990,0.9060,2025-01-02 12:36:30,4.0
1.0180,24.2480,0.2670,83.6470,0.8750,2025-01-02 12:36:30,4.0
1.0350,24.2920,0.2270,83.8040,0.9220,2025-01-02 12:36:30,4.0
1.0340,24.2220,0.3510,83.7230,0.9190,2025-01-02 12:36:30,4.0
1.0350,24.2330,0.5270,84.1540,0.9510,2025-01-02 12:36:30,4.0
0.9860,24.2090,0.8230,83.59,0.8660,2025-01-02 12:36:30,4.0
1.0510,24.2860,0.41,83.73,0.6270,2025-01-02 12:36:30,4.0
1.0280,24.3730,0.7160,83.84,0.8640,2025-01-02 12:35:55,5.0
1.0230,24.2780,0.3870,83.89,0.9160,2025-01-02 12:35:55,5.0
1.0140,24.3640,0.6910,84.17,0.9570,2025-01-02 12:35:55,5.0
1.0250,24.3130,0.4770,84.20,0.9360,2025-01-02 12:35:55,5.0
1.0430,24.4740,0.2990,84.09,0.9490,2025-01-02 12:35:55,5.0
1.0380,24.3930,0.3840,84.04,0.9070,2025-01-02 12:35:55,5.0
1.0250,24.3070,0.8670,84.23,0.9550,2025-01-02 12:35:55,5.0
1.0370,24.4170,0.6580,83.95,0.9230,2025-01-02 12:35:55,5.0
1.0470,24.45,0.5930,83.96,0.9650,2025-01-02 12:35:55,5.0
1.0150,24.4070,0.5480,84.27,0.9550,2025-01-02 12:35:55,5.0
0.9850,24.3260,0.4340,84.20,0.8690,2025-01-02 12:35:55,5.0
1.0080,24.3690,0.3090,83.77,0.8640,2025-01-02 12:35:55,5.0
1.0290,24.36,0.4620,83.71,0.89,2025-01-02 12:35:55,5.0
1.0350,24.3610,0.6450,83.82,0.9040,2025-01-02 12:35:55,5.0
1,24.3430,0.3790,83.95,0.8530,2025-01-02 12:35:55,5.0
1.0240,24.3230,0.4070,84.08,0.9290,2025-01-02 12:35:55,5.0
1.0270,24.3260,0.4820,83.89,0.9150,2025-01-02 12:35:55,5.0
0.9910,24.2760,0.3890,84.05,0.9340,2025-01-02 12:35:55,5.0
1.0550,24.4040,0.3820,83.86,0.9060,2025-01-02 12:35:55,5.0
1.0050,24.3850,0.2340,83.99,0.8960,2025-01-02 12:35:55,5.0
1.0470,24.3920,0.1480,83.57,0.9560,2025-01-02 12:40:56,6.0
1.0320,24.3790,0.2910,83.46,0.9390,2025-01-02 12:40:56,6.0
1.04,24.3320,0.4950,83.92,0.9630,2025-01-02 12:40:56,6.0
1.0260,24.3180,0.3210,83.84,0.9750,2025-01-02 12:40:56,6.0
1.0250,24.3990,0.4970,83.52,0.9040,2025-01-02 12:40:56,6.0
0.9890,24.3340,0.6460,83.86,0.9810,2025-01-02 12:40:56,6.0
1.0550,24.35,0.3720,83.95,0.9660,2025-01-02 12:40:56,6.0
1.0310,24.3480,0.4920,83.72,0.9430,2025-01-02 12:40:56,6.0
1.0360,24.3630,0.5070,84.07,0.9440,2025-01-02 12:40:56,6.0
1.0520,24.3470,0.4020,83.85,0.9610,2025-01-02 12:40:56,6.0
1.04,24.3810,0.3920,83.65,0.9590,2025-01-02 12:40:56,6.0
1.0320,24.3620,0.51,83.98,0.9920,2025-01-02 12:40:56,6.0
1.0240,24.3750,0.60,83.85,0.9240,2025-01-02 12:40:56,6.0
1.0150,24.3860,0.53,83.72,0.8940,2025-01-02 12:40:56,6.0
1.0440,24.4050,0.2440,83.76,0.9810,2025-01-02 12:40:56,6.0
1.0190,24.3140,0.6680,83.91,0.9110,2025-01-02 12:40:56,6.0
1.0150,24.3610,0.4220,83.62,0.9560,2025-01-02 12:40:56,6.0
1.0630,24.3790,0.3970,83.81,0.9110,2025-01-02 12:40:56,6.0
1.0590,24.3560,0.3240,83.82,0.9730,2025-01-02 12:40:56,6.0
1.0670,24.3560,0.6710,83.85,0.9530,2025-01-02 12:40:56,6.0
1.0310,24.1720,0.8040,83.8890,0.8880,2025-01-02 12:56:35,7.0
1.0230,24.2460,0.7940,83.9220,0.8590,2025-01-02 12:56:35,7.0
1.0070,24.3670,0.4430,83.9450,0.93,2025-01-02 12:56:35,7.0
1.0230,24.30,0.34,84.0580,0.8620,2025-01-02 12:56:35,7.0
1.0160,24.3020,0.3950,83.5560,0.8990,2025-01-02 12:56:35,7.0
1.0290,24.2360,0.3830,83.9890,0.8860,2025-01-02 12:56:35,7.0
1.0130,24.2460,0.3190,83.9570,0.8970,2025-01-02 12:56:35,7.0
1.0060,24.2340,0.30,83.8930,0.8840,2025-01-02 12:56:35,7.0
1.0180,24.3670,0.4160,83.8820,0.8990,2025-01-02 12:56:35,7.0
1.0210,24.2640,0.3540,84.0330,0.8790,2025-01-02 12:56:35,7.0
1.0540,24.2650,0.4990,84.0320,0.8940,2025-01-02 12:56:35,7.0
0.9970,24.3060,0.5620,84.2150,0.8980,2025-01-02 12:56:35,7.0
1.0620,24.34,0.31,84.0330,0.9010,2025-01-02 12:56:35,7.0
1.05,24.3590,0.3080,84.0370,0.8810,2025-01-02 12:56:35,7.0
1.0550,24.3430,0.4140,84.0210,0.8570,2025-01-02 12:56:35,7.0
1.0150,24.2460,0.3810,83.9860,0.8690,2025-01-02 12:56:35,7.0
0.9960,24.1750,0.5520,84.05,0.8780,2025-01-02 12:56:35,7.0
1.03,24.37,0.2830,83.9180,0.8850,2025-01-02 12:56:35,7.0
1.0090,24.2660,0.2590,84.0430,0.8680,2025-01-02 12:56:35,7.0
1.0350,24.1850,0.2560,84.1060,0.9570,2025-01-02 12:56:35,7.0
0.9820,24.3770,0.6780,83.8010,0.86,2025-01-02 19:16:47,8.0
1.0150,24.2640,0.2250,83.8880,0.8950,2025-01-02 19:16:47,8.0
1.0510,24.2450,0.4250,84.0690,0.9610,2025-01-02 19:16:47,8.0
0.9960,24.2570,0.67,83.8690,0.8910,2025-01-02 19:16:47,8.0
