M,C,d,L,R,T,N
0.7250,19.9960,0.56,88.8970,1.0760,2025-01-03 13:00:38,3.0
0.6690,19.9520,0.6120,89.1060,1.0030,2025-01-03 13:00:38,3.0
0.7090,19.9620,0.3640,88.9060,1.1060,2025-01-03 13:00:38,3.0
0.7060,19.9330,0.42,89.0560,1.1060,2025-01-03 19:25:53,4.0
0.6920,19.8550,0.6410,89.1940,1.0660,2025-01-03 19:25:53,4.0
0.7530,20.0970,0.4170,89.0410,1.1520,2025-01-03 19:25:53,4.0
0.6970,19.9990,0.5040,88.8920,1.0760,2025-01-03 19:25:53,4.0
0.7170,19.9150,0.43,88.8790,1.1980,2025-01-03 19:25:53,4.0
0.7230,19.9430,0.3290,89.2160,1.1050,2025-01-03 19:25:53,4.0
0.6920,19.9550,0.5670,88.9580,1.0080,2025-01-03 19:25:53,4.0
0.7290,19.9960,0.3670,88.8940,1.1460,2025-01-03 19:25:53,4.0
0.6960,19.9430,0.5740,89.0480,0.9930,2025-01-03 19:25:53,4.0
0.7020,19.9650,0.4090,88.9620,1.0440,2025-01-03 19:25:53,4.0
0.6890,19.9770,0.2980,88.8220,0.9890,2025-01-03 19:25:53,4.0
0.7370,19.99,0.4650,88.9030,1.1510,2025-01-03 19:25:53,4.0
0.68,19.8170,0.7490,88.7080,0.9480,2025-01-03 19:25:53,4.0
0.7010,19.9370,0.3750,88.6890,0.9690,2025-01-03 19:25:53,4.0
0.7150,19.9240,0.2940,88.8150,1.1360,2025-01-03 19:25:53,4.0
0.6910,19.9370,0.4690,88.6860,1.0650,2025-01-03 19:25:53,4.0
0.7110,19.9370,0.4480,88.7390,1.0820,2025-01-03 19:25:53,4.0
0.7070,19.9650,0.4440,88.7720,1.0880,2025-01-03 19:25:53,4.0
0.75,20.0620,0.4020,88.8430,1.1480,2025-01-03 19:25:53,4.0
0.6890,19.9330,0.43,88.5050,1.0710,2025-01-03 19:25:53,4.0
0.7490,19.9770,0.3530,88.8120,1.1950,2025-01-04 07:53:48,5.0
0.7260,20.0250,0.3890,88.7310,1.0910,2025-01-04 07:53:48,5.0
0.7070,19.9460,0.4060,88.7620,1.11,2025-01-04 07:53:48,5.0
0.70,19.8670,0.4170,88.6170,1.1130,2025-01-04 07:53:48,5.0
0.6960,19.9330,0.5250,88.6850,1.18,2025-01-04 07:53:48,5.0
0.72,20.0310,0.4340,88.7320,1.2710,2025-01-04 07:53:48,5.0
0.7040,19.9270,0.3990,88.51,1.1450,2025-01-04 07:53:48,5.0
0.7020,19.9960,0.5210,88.37,1.1120,2025-01-04 07:53:48,5.0
0.7270,19.99,0.3710,88.95,1.2080,2025-01-04 07:53:48,5.0
0.7220,19.9740,0.5070,88.7580,1.2180,2025-01-04 07:53:48,5.0
0.7430,20.0460,0.4130,88.4750,1.2750,2025-01-04 07:53:48,5.0
0.6890,19.9050,0.2310,88.5870,1.1260,2025-01-04 07:53:48,5.0
0.7080,19.94,0.48,88.5930,1.0570,2025-01-04 07:53:48,5.0
0.7070,19.8580,0.6720,88.5250,1.1780,2025-01-04 07:53:48,5.0
0.7480,19.99,0.4230,88.6010,1.0920,2025-01-04 07:53:48,5.0
0.7010,19.8930,0.4510,88.73,1.0940,2025-01-04 07:53:48,5.0
0.74,20.04,0.3220,88.8680,1.2220,2025-01-04 07:53:48,5.0
0.7190,19.8930,0.4620,88.7950,1.1620,2025-01-04 07:53:48,5.0
0.7250,19.9810,0.5430,88.80,1.1980,2025-01-04 07:53:48,5.0
0.7270,19.9650,0.41,88.5240,1.2210,2025-01-04 07:53:48,5.0
0.6650,19.9460,0.4440,88.4890,1.11,2025-01-04 11:03:57,6.0
0.6710,20.0120,0.2480,88.6690,0.9180,2025-01-04 11:03:57,6.0
0.7210,19.9370,0.4650,88.8370,1.1620,2025-01-04 11:03:57,6.0
0.7060,20.0090,0.3430,88.8280,1.0940,2025-01-04 11:03:57,6.0
0.7090,20.0250,0.4940,89.0280,1.0640,2025-01-04 11:03:57,6.0
0.70,19.8830,0.3110,88.6830,1.1230,2025-01-04 11:03:57,6.0
0.6810,19.9960,0.4760,88.6820,1.0360,2025-01-04 11:03:57,6.0
0.7360,19.9430,0.3920,88.8190,1.1870,2025-01-04 11:03:57,6.0
0.71,20.0430,0.4130,88.6720,1.1470,2025-01-04 11:03:57,6.0
0.7210,19.9840,0.42,88.8640,1.2060,2025-01-04 11:03:57,6.0
0.6720,19.9370,0.3050,88.6840,1.1050,2025-01-04 11:03:57,6.0
0.72,19.9330,0.5950,88.4460,0.9980,2025-01-04 11:03:57,6.0
0.6980,19.8890,0.4170,89.0360,1.09,2025-01-04 11:03:57,6.0
0.7120,19.88,0.4830,88.7920,1.0470,2025-01-04 11:03:57,6.0
0.7130,19.9740,0.2690,88.5710,1.2260,2025-01-04 11:03:57,6.0
0.7390,19.8930,0.6120,88.7510,1.1850,2025-01-04 11:03:57,6.0
0.7040,19.9550,0.5280,88.6670,1.1640,2025-01-04 11:03:57,6.0
0.6870,19.9050,0.5110,88.8120,1.0560,2025-01-04 11:03:57,6.0
0.7030,19.8490,0.4620,88.5620,1.01,2025-01-04 11:03:57,6.0
0.7030,19.9990,0.3920,88.9310,1.2070,2025-01-04 11:03:57,6.0
0.7150,19.9810,0.3890,88.5150,1.0680,2025-01-04 12:49:03,7.0
0.6920,19.9620,0.4270,88.8830,1.1660,2025-01-04 12:49:03,7.0
0.6750,19.9870,0.2770,88.79,1.1030,2025-01-04 12:49:03,7.0
0.7160,19.9150,0.5770,88.83,1.1860,2025-01-04 12:49:03,7.0
0.71,19.9460,0.2070,88.6490,1.1860,2025-01-04 12:49:03,7.0
0.7190,20.0310,0.4270,88.5950,1.0670,2025-01-04 12:49:03,7.0
0.6790,19.9210,0.5080,88.78,1.0890,2025-01-04 12:49:03,7.0
0.7040,19.9870,0.34,88.6270,1.2190,2025-01-04 12:49:03,7.0
0.7010,19.9770,0.4760,88.5880,1.08,2025-01-04 12:49:03,7.0
0.7140,19.9960,0.3710,88.9140,1.3070,2025-01-04 12:49:03,7.0
0.6960,20.0120,0.41,88.8830,1.2080,2025-01-04 12:49:03,7.0
0.6930,19.8580,0.5290,88.7190,0.99,2025-01-04 12:49:03,7.0
0.6870,19.9590,0.4830,89.2640,1.1860,2025-01-04 12:49:03,7.0
0.7210,20.0060,0.3220,88.8720,1.1590,2025-01-04 12:49:03,7.0
0.7170,19.9810,0.5250,88.7510,1.2250,2025-01-04 12:49:03,7.0
0.6990,20.0250,0.5210,88.77,1.1110,2025-01-04 12:49:03,7.0
0.7090,20.0310,0.3710,88.92,1.1140,2025-01-04 12:49:03,7.0
0.6780,19.9270,0.4410,88.5710,1.0760,2025-01-04 12:49:03,7.0
0.7040,20.0090,0.4550,88.6720,1.0510,2025-01-04 12:49:03,7.0
0.6890,19.94,0.4270,88.8140,1.0480,2025-01-04 12:49:03,7.0
0.6890,20.0030,0.3290,88.7690,1.0190,2025-01-04 19:09:07,8.0
0.6860,19.9080,0.3670,88.7340,1.0530,2025-01-04 19:09:07,8.0
0.7220,20.0250,0.5710,88.9310,1.1180,2025-01-04 19:09:07,8.0
0.70,19.9770,0.5290,88.8190,1.0210,2025-01-04 19:09:07,8.0
